,mk_individual_id,mk_individual_name_eng,mk_individual_first_name_eng
72,679,Tamir (Katznelson),Shmuel 
73,680,Ben-Zvi,Yitzhak
74,681,Shazar,Shneor Zalman
75,682,Allon,Yigal
76,683,Eshkol,Levi
77,684,Ben-Gurion,David
78,685,Meir,Golda
79,686,Porush,Menahem
80,687,Navon,Yitzhak
81,688,Dayan,Moshe
82,690,Weizman,Ezer
83,692,Begin,Menachem
84,693,Shomer,Pini
85,694,Nir,Zvi
86,695,Steinitz,Yuval
87,696,Langental,Nahum
88,697,Tamir,Yuli
89,698,Geri,Yaacov (Meyer)
90,699,Cohen,Haim
91,700,Toledano,Yaakov Moshe
92,701,Dolchin,Aryeh
93,702,Katz,Israel
94,703,Shapira,Yosef
95,704,Avital,Colette
96,705,Amital,Yehuda
97,706,Neeman,Yaakov
98,707,Gruenbaum,Yitzhak
99,708,Raz,Mossi
0,709,Mishani,Mordechai
1,710,Ohana,Asher
2,711,Ronen,Nehama
3,712,Lasry,Yechiel
4,713,Ariel,Uri Yehuda
5,714,Cohen,Eli
6,715,Eitam,Effie
7,716,Gilad,Yehuda
8,717,Noked,Orit
9,718,Reshef,Tzaly
10,719,Even,Uzi
11,720,Mofaz,Shaul
12,722,Zabre,Pinhas
13,723,Gamliel,Gila
14,724,Avraham Balila,Ruhama
15,725,Sa'ar,Gideon
16,726,Benlolo,Daniel
17,727,Whbee,Majallie
18,728,Edery,Jacob
19,729,Yatom,Ehud
20,730,Aflalo,Eli
21,731,Kahlon,Moshe 
22,732,Sharon,Omri
23,733,Gorlovsky,Michael
24,734,Erdan,Gilad
25,735,Bar-On,Ronnie
26,736,Gavriely,Inbal
27,737,Hazan,Yehiel
28,738,Nass,Lea
29,739,Mitzna,Amram
30,740,Herzog,Isaac
31,741,Yatom,Dani
32,742,Shalgi,Ilan
33,743,Polishook-Bloch,Meli
34,744,Chayne,Reshef
35,745,Brison,Ronny A.
36,746,Rassabi,Ehud
37,747,Livni,Eti
38,748,Leibovitch,Ilan
39,749,Doron,Chemi
40,750,Yasinov,Igal
41,751,Margi,Yakov
42,752,Eldad,Arieh
43,753,Finkelstein,Gila
44,754,Eichler,Israel
45,755,Cohen,Ilana
46,756,Zahalka,Jamal
47,757,Taha,Wasil
48,758,Majadele,Raleb
49,759,Golan,Erela
50,760,Rosenblum,Penina
51,761,Ilan,Tova
52,762,Tzur,Ronen
53,763,Koren,Dani
54,764,Tartman,Esterina
55,765,Angel,Orna
56,766,Dobrin,Neta
57,767,Ben-Sasson,Menahem
58,768,Elkin,Zeev
59,769,Breznitz,Shlomo
60,770,Dotan,Amira
61,771,Dicter,Avi
62,772,Hasson,Yoel
63,773,Itzchaky,Avigdor
64,774,Tirosh,Ronit
65,775,Reichman,Uriel
66,776,Schneller,Otniel
67,777,Ziv,Izhak
68,778,Zkoor,Abas
69,779,Hilou,Nadia
70,780,Khenin,Dov
71,781,Hasson,Israel
72,782,Yachimovich,Shelly
73,783,Cohen,Yakov
74,784,Michaeli,Avraham
75,785,Miller,Alex
76,786,Misezhnikov,Stas
77,787,Marom Shalev,Sara
78,788,Marciano,Yoram
79,789,Swaid,Hanna
80,790,Aharonovitch,Yitzhak
81,791,Atias,Ariel
82,792,Ayalon,Ami
83,793,Ilatov,Robert
84,794,Eitan,Rafi
85,795,Amsellem,Chaim
86,796,Ben Yizri,Yacov
87,797,Braverman,Avishay
88,798,Glazer,Elhanan
89,799,Galantee,Itshac
90,800,Sarsour,Ibrahim
91,801,Shagal,Yosef
92,802,Shemtov,Lia
93,803,Sharoni,Moshe
94,804,Hermesh,Shai
95,805,Rotem,David
96,806,Friedmann,Daniel
97,807,Naffaa,Said
98,808,Ben-Israel,Isaac
99,809,Plesner,Yohanan
0,810,Molla,Shlomo (Neguse)
1,811,Bahyna,Mazor
2,812,Shnaan,Shachiv
3,813,Litinetsky,Leon
4,814,Maklev,Uri
5,815,Greenfield,Tzvia
6,816,Pollack,Yehoshua Menachem
7,817,Bielski,Zeev
8,818,Shai,Nachman
9,819,Tiviaev,Robert
10,820,Adatto,Rachel
11,821,Bibi,Arie
12,822,Zuaretz,Orit
13,823,Ya`alon,Moshe
14,824,Peled,Yossi
15,825,Hotovely,Tzipi
16,826,Levin,Yariv
17,827,Pinyan,Zion
18,828,Danon,Danny
19,829,Shama Hacohen,Carmel
20,830,Akunis,Ofir
21,831,Regev,Miri Miriam 
22,832,Levi-Abekasis,Orly
23,833,Ayalon,Daniel
24,834,Michaeli,Anastassia
25,835,Kirshenbaum,Fania
26,836,Ben Simon,Daniel
27,837,Amar,Hamad
28,838,Matalon,Moshe Mutz
29,839,Moses,Menachem Eliezer
30,840,Katz,Yaakov (Katzeleh)
